Year,Top seed,Record,Year[b],Eastern champion,Western champion,Year[c],Champion,No. of teams,Games,Notes[f],Ref.
1947,Washington Capitols,49–11 (.817),1947,—[g],—[g],1947,Philadelphia Warriors,11,61,Inaugural season started with 11 teams,[5]
1948,St. Louis Bombers,29–19 (.604),1948,—[g],—[g],1948,Baltimore Bullets[h],8,48,4 teams folded;1 ABL team joined,[6]
1949,Rochester Royals,45–15 (.750),1949,Washington Capitols,Minneapolis Lakers,1949,Minneapolis Lakers,12,60,4 NBL teams joined,[7]
1950,Syracuse Nationals,51–13 (.797),1950,Syracuse Nationals,Anderson Packers[i],1950,Minneapolis Lakers[j],17,68,NBL merged with BAA and was renamed NBA;2 teams folded;6 NBL teams joined;1 expansion team joined,[8]
1951,Minneapolis Lakers,44–24 (.647),1951,New York Knicks,Rochester Royals,1951,Rochester Royals,11,69,6 teams folded;1 team folded during the season;the first All-Star Game was held,[9]
1952,Rochester Royals,41–25 (.621),1952,New York Knicks,Minneapolis Lakers,1952,Minneapolis Lakers,10,66,,[10]
1953,Minneapolis Lakers,48–22 (.686),1953,New York Knicks,Minneapolis Lakers,1953,Minneapolis Lakers,10,71,,[11]
1954,Minneapolis Lakers,46–26 (.639),1954,Syracuse Nationals,Minneapolis Lakers,1954,Minneapolis Lakers,9,72,1 team folded,[12]
1955,Syracuse NationalsFort Wayne Pistons[k],43–29 (.597),1955,Syracuse Nationals,Fort Wayne Pistons,1955,Syracuse Nationals,9,72,1 team folded during the season,[13]
1956,Philadelphia Warriors,45–27 (.625),1956,Philadelphia Warriors,Fort Wayne Pistons,1956,Philadelphia Warriors,8,72,,[14]
1957,Boston Celtics,44–28 (.611),1957,Boston Celtics,St. Louis Hawks,1957,Boston Celtics,8,72,10th anniversary season,[15]
1958,Boston Celtics,49–23 (.681),1958,Boston Celtics,St. Louis Hawks,1958,St. Louis Hawks,8,72,,[16]
1959,Boston Celtics,52–20 (.722),1959,Boston Celtics,Minneapolis Lakers,1959,Boston Celtics,8,72,,[17]
1960,Boston Celtics,59–16 (.787),1960,Boston Celtics,St. Louis Hawks,1960,Boston Celtics,8,75,,[18]
1961,Boston Celtics,57–22 (.722),1961,Boston Celtics,St. Louis Hawks,1961,Boston Celtics,8,79,,[19]
1962,Boston Celtics,60–20 (.750),1962,Boston Celtics,Los Angeles Lakers,1962,Boston Celtics,9,80,1 expansion team joined,[20]
1963,Boston Celtics,58–22 (.725),1963,Boston Celtics,Los Angeles Lakers,1963,Boston Celtics,9,80,,[21]
1964,Boston Celtics,59–21 (.738),1964,Boston Celtics,San Francisco Warriors,1964,Boston Celtics,9,80,,[22]
1965,Boston Celtics,62–18 (.775),1965,Boston Celtics,Los Angeles Lakers,1965,Boston Celtics,9,80,Named as one of the Top 10 Teams in NBA History,[23]
1966,Philadelphia 76ers,55–25 (.688),1966,Boston Celtics,Los Angeles Lakers,1966,Boston Celtics,9,80,,[24]
1967,Philadelphia 76ers,68–13 (.840),1967,Philadelphia 76ers,San Francisco Warriors,1967,Philadelphia 76ers,10,81,1 expansion team joined;named as one of the Top 10 Teams in NBA History,[25]
1968,Philadelphia 76ers,62–20 (.756),1968,Boston Celtics,Los Angeles Lakers,1968,Boston Celtics,12,82,2 expansion teams joined,[26]
1969,Baltimore Bullets,57–25 (.695),1969,Boston Celtics,Los Angeles Lakers,1969,Boston Celtics,14,82,2 expansion teams joined,[27]
1970,New York Knicks,60–22 (.732),1970,New York Knicks,Los Angeles Lakers,1970,New York Knicks,14,82,Named as one of the Top 10 Teams in NBA History,[28]
1971,Milwaukee Bucks,66–16 (.805),1971,Baltimore Bullets,Milwaukee Bucks,1971,Milwaukee Bucks,17,82,3 expansion teams joined,[29]
1972,Los Angeles Lakers,69–13 (.841),1972,New York Knicks,Los Angeles Lakers,1972,Los Angeles Lakers,17,82,25th anniversary season; named as one of the Top 10 Teams in NBA History,[30]
1973,Boston Celtics,68–14 (.829),1973,New York Knicks,Los Angeles Lakers,1973,New York Knicks,17,82,,[31]
1974,Milwaukee Bucks,59–23 (.720),1974,Boston Celtics,Milwaukee Bucks,1974,Boston Celtics,17,82,,[32]
1975,Boston Celtics[l],60–22 (.732),1975,Washington Bullets,Golden State Warriors,1975,Golden State Warriors,18,82,1 expansion team joined,[33]
1976,Golden State Warriors,59–23 (.720),1976,Boston Celtics,Phoenix Suns,1976,Boston Celtics,18,82,,[34]
1977,Los Angeles Lakers,53–29 (.646),1977,Philadelphia 76ers,Portland Trail Blazers,1977,Portland Trail Blazers,22,82,ABA merged with NBA;4 ABA teams joined,[35]
1978,Portland Trail Blazers,58–24 (.707),1978,Washington Bullets,Seattle SuperSonics,1978,Washington Bullets,22,82,,[36]
1979,Washington Bullets,54–28 (.659),1979,Washington Bullets,Seattle SuperSonics,1979,Seattle SuperSonics,22,82,,[37]
1980,Boston Celtics,61–21 (.744),1980,Philadelphia 76ers,Los Angeles Lakers,1980,Los Angeles Lakers,22,82,,[38]
1981,Boston Celtics[m],62–20 (.756),1981,Boston Celtics,Houston Rockets,1981,Boston Celtics,23,82,1 expansion team joined,[39]
1982,Boston Celtics,63–19 (.768),1982,Philadelphia 76ers,Los Angeles Lakers,1982,Los Angeles Lakers,23,82,,[40]
1983,Philadelphia 76ers,65–17 (.793),1983,Philadelphia 76ers,Los Angeles Lakers,1983,Philadelphia 76ers,23,82,Named as one of the Top 10 Teams in NBA History,[41]
1984,Boston Celtics,62–20 (.756),1984,Boston Celtics,Los Angeles Lakers,1984,Boston Celtics,23,82,,[42]
1985,Boston Celtics,63–19 (.768),1985,Boston Celtics,Los Angeles Lakers,1985,Los Angeles Lakers,23,82,,[43]
1986,Boston Celtics,67–15 (.817),1986,Boston Celtics,Houston Rockets,1986,Boston Celtics,23,82,Named as one of the Top 10 Teams in NBA History,[44]
1987,Los Angeles Lakers,65–17 (.793),1987,Boston Celtics,Los Angeles Lakers,1987,Los Angeles Lakers,23,82,Named as one of the Top 10 Teams in NBA History,[45]
1988,Los Angeles Lakers,62–20 (.756),1988,Detroit Pistons,Los Angeles Lakers,1988,Los Angeles Lakers,23,82,,[46]
1989,Detroit Pistons,63–19 (.768),1989,Detroit Pistons,Los Angeles Lakers,1989,Detroit Pistons,25,82,2 expansion teams joined;named as one of the Top 10 Teams in NBA History,[47]
1990,Los Angeles Lakers,63–19 (.768),1990,Detroit Pistons,Portland Trail Blazers,1990,Detroit Pistons,27,82,2 expansion teams joined,[48]
1991,Portland Trail Blazers,63–19 (.768),1991,Chicago Bulls,Los Angeles Lakers,1991,Chicago Bulls,27,82,,[49]
1992,Chicago Bulls,67–15 (.817),1992,Chicago Bulls,Portland Trail Blazers,1992,Chicago Bulls,27,82,Named as one of the Top 10 Teams in NBA History,[50]
1993,Phoenix Suns,62–20 (.756),1993,Chicago Bulls,Phoenix Suns,1993,Chicago Bulls,27,82,,[51]
1994,Seattle SuperSonics,63–19 (.768),1994,New York Knicks,Houston Rockets,1994,Houston Rockets,27,82,,[52]
1995,San Antonio Spurs,62–20 (.756),1995,Orlando Magic,Houston Rockets,1995,Houston Rockets,27,82,,[53]
1996,Chicago Bulls,72–10 (.878),1996,Chicago Bulls,Seattle SuperSonics,1996,Chicago Bulls,29,82,2 expansion teams joined; 50th anniversary seasonNamed as one of the Top 10 Teams in NBA History,[54]
1997,Chicago Bulls,69–13 (.841),1997,Chicago Bulls,Utah Jazz,1997,Chicago Bulls,29,82,,[55]
1998,Utah Jazz[n],62–20 (.756),1998,Chicago Bulls,Utah Jazz,1998,Chicago Bulls,29,82,,[56]
1999,San Antonio Spurs[o],37–13 (.740),1999,New York Knicks,San Antonio Spurs,1999,San Antonio Spurs,29,50,Season delayed and shortened due to a lockout,[57]
2000,Los Angeles Lakers,67–15 (.817),2000,Indiana Pacers,Los Angeles Lakers,2000,Los Angeles Lakers,29,82,,[58]
2001,San Antonio Spurs,58–24 (.707),2001,Philadelphia 76ers,Los Angeles Lakers,2001,Los Angeles Lakers,29,82,,[59]
2002,Sacramento Kings,61–21 (.744),2002,New Jersey Nets,Los Angeles Lakers,2002,Los Angeles Lakers,29,82,,[60]
2003,San Antonio Spurs[p],60–22 (.732),2003,New Jersey Nets,San Antonio Spurs,2003,San Antonio Spurs,29,82,,[61]
2004,Indiana Pacers,61–21 (.744),2004,Detroit Pistons,Los Angeles Lakers,2004,Detroit Pistons,29,82,,[62]
2005,Phoenix Suns,62–20 (.756),2005,Detroit Pistons,San Antonio Spurs,2005,San Antonio Spurs,30,82,1 expansion team joined,[63]
2006,Detroit Pistons,64–18 (.780),2006,Miami Heat,Dallas Mavericks,2006,Miami Heat,30,82,,[64]
2007,Dallas Mavericks,67–15 (.817),2007,Cleveland Cavaliers,San Antonio Spurs,2007,San Antonio Spurs,30,82,,[65]
2008,Boston Celtics,66–16 (.805),2008,Boston Celtics,Los Angeles Lakers,2008,Boston Celtics,30,82,,[66]
2009,Cleveland Cavaliers,66–16 (.805),2009,Orlando Magic,Los Angeles Lakers,2009,Los Angeles Lakers,30,82,,[67]
2010,Cleveland Cavaliers,61–21 (.744),2010,Boston Celtics,Los Angeles Lakers,2010,Los Angeles Lakers,30,82,,[68]
2011,Chicago Bulls,62–20 (.756),2011,Miami Heat,Dallas Mavericks,2011,Dallas Mavericks,30,82,,[69]
2012,Chicago Bulls[q],50–16 (.758),2012,Miami Heat,Oklahoma City Thunder,2012,Miami Heat,30,66,Season delayed and shortened due to a lockout,[70]
2013,Miami Heat,66–16 (.805),2013,Miami Heat,San Antonio Spurs,2013,Miami Heat,30,82,,[71]
2014,San Antonio Spurs,62–20 (.756),2014,Miami Heat,San Antonio Spurs,2014,San Antonio Spurs,30,82,,[72]
2015,Golden State Warriors,67–15 (.817),2015,Cleveland Cavaliers,Golden State Warriors,2015,Golden State Warriors,30,82,,[73]
2016,Golden State Warriors,73–9 (.890),2016,Cleveland Cavaliers,Golden State Warriors,2016,Cleveland Cavaliers,30,82,,[74]
2017,Golden State Warriors,67–15 (.817),2017,Cleveland Cavaliers,Golden State Warriors,2017,Golden State Warriors,30,82,,[75]
2018,Houston Rockets,65–17 (.793),2018,Cleveland Cavaliers,Golden State Warriors,2018,Golden State Warriors,30,82,,[76]
2019,Milwaukee Bucks,60–22 (.732),2019,Toronto Raptors,Golden State Warriors,2019,Toronto Raptors,30,82,,[77]
2020,Milwaukee Bucks,56–17 (.767),2020,Miami Heat,Los Angeles Lakers,2020,Los Angeles Lakers,30,63-75,"Season suspended from March 11 to July 29, 2020 due to COVID-19 pandemic",
2021,TBA,,2021,,,2021,,30,72,"Season shortened and delayed to December 22, 2020 due to COVID-19 pandemic",
